                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                0.96873,                 1.9167,                0.81568,                0.99116,                0.87142,                0.84286,                0.86516,                0.73232,                0.83647,                0.81603,                0.82965,                0.65039,                0.79157,                 1.0836,                0.63289,                0.90852,             9.5873e-05,             9.5873e-05,             9.5873e-05
                     87,                0.97317,                 1.9667,                0.82279,                 1.0057,                0.89637,                0.83283,                0.87946,                0.74808,                0.85828,                0.78472,                0.83661,                0.64212,                0.76965,                  1.081,                0.61686,                0.90819,             9.5646e-05,             9.5646e-05,             9.5646e-05
                     88,                0.96841,                  1.975,                0.82067,                 1.0002,                0.88955,                0.83437,                0.87923,                0.75358,                0.89317,                0.80425,                0.85318,                0.66315,                0.76649,                 1.0182,                0.63115,                0.90937,             9.5418e-05,             9.5418e-05,             9.5418e-05
                     89,                0.98492,                 1.9203,                0.84775,                 1.0031,                 0.8902,                0.83521,                 0.8896,                0.77165,                0.87824,                0.79093,                0.84998,                0.66652,                0.77045,                 1.0094,                0.62499,                0.90727,              9.519e-05,              9.519e-05,              9.519e-05
                     90,                  1.008,                 1.9926,                0.88485,                 1.0686,                0.87596,                0.83403,                0.87872,                0.75367,                0.83873,                0.81125,                 0.8437,                 0.6639,                0.76842,                0.99458,                0.63098,                0.90375,             9.4962e-05,             9.4962e-05,             9.4962e-05
                     91,                 0.9556,                  1.954,                0.78972,                0.99229,                0.87686,                0.82572,                0.86129,                0.73517,                0.83044,                0.79828,                0.82625,                0.64933,                0.76794,                 1.0033,                0.64496,                0.89558,             9.4735e-05,             9.4735e-05,             9.4735e-05
                     92,                 0.9708,                 1.9349,                0.81511,                 1.0007,                0.91783,                0.81209,                0.86939,                0.74495,                0.88412,                0.78616,                0.84013,                0.65094,                0.73956,                 1.0062,                0.64048,                  0.892,             9.4507e-05,             9.4507e-05,             9.4507e-05
                     93,                0.96204,                 2.0244,                0.85912,                0.99786,                0.89591,                 0.8535,                0.88418,                0.74878,                 0.8601,                0.83466,                0.85888,                  0.652,                0.76577,                 1.0197,                0.61235,                0.89587,             9.4279e-05,             9.4279e-05,             9.4279e-05
                     94,                0.97396,                 2.0013,                0.83346,                 1.0009,                0.91235,                0.83209,                0.87731,                 0.7595,                0.87772,                0.81148,                0.85425,                0.64253,                0.76727,                 1.0211,                0.62284,                0.89513,             9.4052e-05,             9.4052e-05,             9.4052e-05
                     95,                0.97597,                 1.9861,                0.81028,                0.99425,                0.92485,                0.82236,                0.86026,                0.74593,                0.88119,                0.79733,                0.83019,                 0.6425,                0.78903,                 1.0309,                0.64993,                0.90916,             9.3824e-05,             9.3824e-05,             9.3824e-05
                     96,                0.97286,                 2.0081,                0.81951,                0.99617,                0.90459,                0.81774,                0.86625,                0.75687,                0.82679,                0.80341,                0.82923,                0.63377,                0.77853,                 1.0385,                0.63324,                0.90368,             9.3596e-05,             9.3596e-05,             9.3596e-05
                     97,                0.97659,                 1.8888,                0.83682,                 1.0059,                0.92572,                0.82643,                0.88203,                0.74648,                0.88068,                0.79545,                0.84095,                 0.6425,                0.76927,                 1.0208,                 0.6404,                0.90112,             9.3369e-05,             9.3369e-05,             9.3369e-05
                     98,                0.96905,                 1.9572,                0.82413,                  1.001,                0.93197,                0.83515,                0.88355,                0.76008,                0.89172,                0.80619,                0.84077,                 0.6518,                 0.7711,                 1.0044,                0.61991,                0.90003,             9.3141e-05,             9.3141e-05,             9.3141e-05
                     99,                0.97432,                 1.9734,                0.82227,                0.99258,                0.88927,                0.83083,                  0.871,                0.74785,                 0.8754,                0.81934,                0.85297,                0.65623,                 0.7806,                0.99995,                0.62975,                0.89945,             9.2913e-05,             9.2913e-05,             9.2913e-05
                    100,                0.96651,                 1.9308,                0.81406,                0.99877,                0.89953,                0.84024,                0.87449,                0.74162,                0.87813,                0.79288,                 0.8418,                0.65885,                0.78629,                 1.0045,                0.62531,                0.90818,             9.2685e-05,             9.2685e-05,             9.2685e-05
                    101,                0.95903,                 1.9221,                0.80573,                0.99191,                0.90732,                0.84002,                0.87629,                0.73606,                0.85456,                0.80318,                0.83392,                0.64969,                 0.7773,                 1.0024,                0.62725,                 0.8968,             9.2458e-05,             9.2458e-05,             9.2458e-05
                    102,                0.95223,                 1.9684,                0.81116,                0.99743,                0.88737,                0.83454,                 0.8652,                0.75222,                0.85234,                0.81177,                0.84545,                0.65226,                0.78756,                0.98963,                0.60421,                0.89565,              9.223e-05,              9.223e-05,              9.223e-05
